time,energy,out_1,out_2,out_3
119.439,-14.0,-14.6,7.489
119.439,-14.0,-14.6,7.393
119.439,-14.0,-14.697,7.3
119.019,-14.1,-14.776,7.269
118.533,-14.1,-14.88,7.2
118.058,-14.134,-14.9,7.147
117.205,-14.2,-15.0,7.147
115.437,-14.4,-15.0,7.1
115.922,-14.444,-15.0,7.1
117.103,-14.541,-15.1,7.0
117.115,-14.6,-15.1,7.0
122.422,-14.6,-15.2,6.913
130.131,-14.8,-15.2,6.844
129.665,-14.827,-15.2,6.844
129.179,-14.924,-15.3,6.8
129.041,-15.0,-15.433,6.709
127.8,-15.2,-15.5,6.7
125.176,-15.244,-15.5,6.7
122.279,-15.343,-15.5,6.7
122.707,-15.4,-15.6,6.855
121.87,-15.5,-15.631,7.052
121.066,-15.669,-15.7,7.204
120.593,-15.733,-15.8,7.204
119.525,-15.836,-15.9,7.389
119.511,-15.962,-15.9,7.571
119.621,-16.242,-16.0,7.704
119.621,-16.242,-16.0,7.704
116.513,-16.4,-16.3,7.955
121.677,-16.607,-16.3,8.0
121.677,-16.726,-16.3,8.148
121.677,-16.808,-16.4,8.148
123.07,-16.9,-16.5,8.011
123.797,-17.1,-16.5,7.819
137.013,-17.2,-16.6,7.491
106.517,-17.2,-16.5,7.491
32.636,-17.3,-16.5,7.211
31.15,-17.5,-16.442,7.113
32.464,-17.5,-16.3,7.1
32.464,-17.508,-16.142,7.1
32.631,-17.6,-15.9,7.021
32.565,-17.6,-15.838,7.0
32.565,-17.6,-15.741,7.0
32.595,-17.5,-15.575,7.072
32.587,-17.5,-15.4,7.1
32.58,-17.5,-15.274,7.1
32.58,-17.4,-15.162,7.1
31.236,-17.3,-15.07,7.1
30.43,-17.3,-14.954,7.181
57.462,-17.2,-14.7,7.2
89.438,-17.2,-14.658,7.2
90.345,-17.0,-14.6,7.249
91.253,-16.898,-14.686,7.3
92.113,-16.8,-14.9,7.3
92.113,-16.8,-15.092,7.3
92.281,-16.7,-15.281,7.3
92.571,-16.7,-15.469,7.3
93.044,-16.6,-15.6,7.3
91.358,-16.6,-16.0,7.3
90.537,-16.6,-16.024,7.255
100.539,-16.6,-16.126,7.2
104.153,-16.6,-16.3,7.2
104.153,-16.7,-16.379,7.2
104.08,-16.7,-16.5,7.14
103.949,-16.794,-16.6,7.1
93.975,-16.8,-16.8,7.1
93.796,-16.8,-16.919,7.1
92.81,-16.9,-17.1,7.049
95.432,-16.969,-17.2,7.0
103.832,-17.0,-17.2,6.937
105.946,-17.075,-17.3,6.9
105.646,-17.189,-17.4,6.836
105.646,-17.2,-17.5,6.836
106.702,-17.2,-17.6,6.832
106.204,-17.253,-17.7,6.996
106.204,-17.344,-17.7,7.192
106.05,-17.45,-17.8,7.448
105.868,-17.6,-17.9,7.6
108.841,-17.657,-18.0,7.583
110.331,-17.7,-18.0,7.493
110.11,-17.734,-18.1,7.395
109.859,-17.8,-18.1,7.288
106.076,-17.844,-18.1,7.169
44.183,-17.933,-18.2,7.1
16.299,-18.0,-18.1,7.1
16.155,-18.0,-17.973,7.1
13.4,-18.1,-17.7,7.1
13.38,-18.1,-17.5,7.1
14.157,-18.063,-17.3,7.1
15.62,-18.0,-17.2,7.1
15.623,-17.951,-17.0,7.1
60.173,-17.843,-16.7,7.1
92.259,-17.759,-16.3,7.1
92.301,-17.7,-16.3,7.1
90.01,-17.6,-16.3,7.1
90.757,-17.5,-16.49,7.1
90.757,-17.4,-16.591,7.1
91.342,-17.3,-16.9,7.073
91.342,-17.3,-16.9,7.0
90.558,-17.3,-17.0,7.0
91.279,-17.2,-17.087,6.942
91.279,-17.3,-17.19,6.942
92.42,-17.3,-17.3,6.9
90.128,-17.4,-17.569,6.9
90.04,-17.402,-17.7,6.9
91.549,-17.5,-17.8,6.801
91.549,-17.5,-17.8,6.8
91.656,-17.6,-17.829,6.8
91.839,-17.6,-17.956,6.745
95.158,-17.7,-18.0,6.745
96.228,-17.7,-18.1,6.7
94.907,-17.7,-18.1,6.7
94.055,-17.8,-18.1,6.801
54.057,-17.897,-18.2,6.801
13.289,-17.897,-18.2,6.9
14.864,-17.995,-18.2,6.829
15.465,-18.0,-18.1,6.8
15.534,-18.0,-17.923,6.8
15.533,-18.0,-17.8,6.8
15.498,-17.914,-17.7,6.719
15.493,-17.9,-17.4,6.776
15.53,-17.9,-17.2,6.8
15.616,-17.9,-16.98,6.8
23.005,-17.8,-16.9,6.875
78.345,-17.718,-16.7,6.965
90.071,-17.7,-16.6,7.065
90.858,-17.619,-16.409,7.1
90.754,-17.5,-16.5,7.005
90.657,-17.5,-16.6,7.0
90.562,-17.436,-16.8,7.0
90.237,-17.334,-16.9,6.917
90.099,-17.3,-17.117,6.9
89.933,-17.3,-17.2,6.9
88.731,-17.3,-17.4,6.9
85.659,-17.3,-17.5,6.801
85.469,-17.381,-17.615,6.8
94.205,-17.4,-17.7,6.8
94.205,-17.4,-17.9,6.8
95.817,-17.5,-18.0,6.709
96.743,-17.6,-18.1,6.788
95.626,-17.648,-18.1,6.716
90.747,-17.7,-18.2,6.753
18.056,-17.7,-18.2,6.753
14.01,-17.738,-18.2,6.705
14.355,-17.8,-18.1,6.705
15.358,-17.8,-17.9,6.7
16.777,-17.8,-17.7,6.7
16.727,-17.8,-17.6,6.844
16.259,-17.8,-17.5,6.96
16.259,-17.8,-17.2,7.0
15.795,-17.786,-17.1,7.0
15.795,-17.7,-16.9,7.244
51.886,-17.7,-16.8,7.431
90.201,-17.639,-16.6,7.441
88.954,-17.562,-16.5,7.4
89.885,-17.469,-16.5,7.325
89.885,-17.4,-16.642,7.245
90.376,-17.2,-16.7,7.2
90.303,-17.2,-16.9,7.2
90.149,-17.2,-17.0,7.149
89.979,-17.2,-17.2,7.1
89.77,-17.2,-17.3,7.1
89.955,-17.2,-17.5,7.1
92.771,-17.2,-17.7,7.035
93.574,-17.3,-17.788,7.0
95.121,-17.4,-17.898,7.0
95.055,-17.4,-18.0,6.963
95.055,-17.5,-18.097,6.9
84.707,-17.5,-18.1,6.9
84.707,-17.62,-18.191,6.848
62.208,-17.7,-18.3,6.848
15.602,-17.7,-18.232,6.847
13.8,-17.7,-18.15,6.8
13.35,-17.8,-17.853,6.8
15.543,-17.7,-17.3,6.9
15.547,-17.7,-17.229,6.9
15.55,-17.7,-17.031,6.9
15.563,-17.7,-16.962,6.923
74.777,-17.6,-16.789,7.155
91.189,-17.5,-16.645,7.592
89.43,-17.5,-16.5,8.315
88.864,-17.4,-16.577,8.365
89.968,-17.3,-16.663,8.229
90.669,-17.2,-16.8,8.246
90.669,-17.2,-16.919,8.246
90.595,-17.2,-17.133,8.296
90.417,-17.2,-17.2,8.203
90.193,-17.2,-17.3,8.08
92.913,-17.2,-17.5,8.0
95.794,-17.2,-17.613,8.0
95.0,-17.2,-17.7,8.0
93.754,-17.3,-17.705,8.0
95.16,-17.3,-17.812,8.0
95.838,-17.4,-17.931,7.805
95.702,-17.5,-18.011,7.805
95.956,-17.5,-18.1,7.8
96.261,-17.589,-18.1,7.703
96.152,-17.692,-18.2,7.703
97.807,-17.7,-18.4,7.603
99.911,-17.7,-18.416,7.6
98.57,-17.8,-18.5,7.529
88.345,-17.869,-18.5,7.529
32.482,-17.9,-18.504,7.529
34.308,-18.0,-18.46,7.5
32.256,-18.0,-18.286,7.415
24.94,-18.0,-18.09,7.415
24.858,-18.0,-18.0,7.5
24.521,-18.0,-18.0,7.5
26.911,-18.0,-17.5,7.52
32.341,-17.963,-17.3,7.6
32.341,-17.9,-17.19,7.6
31.32,-17.8,-17.1,7.6
33.548,-17.8,-16.9,7.654
58.437,-17.746,-16.8,7.654
91.747,-17.7,-16.598,7.7
91.747,-17.5,-16.5,7.7
90.769,-17.454,-16.4,7.7
90.769,-17.379,-16.6,7.7
90.769,-17.3,-16.8,7.7
90.552,-17.3,-16.924,7.7
88.264,-17.2,-17.0,7.7
87.739,-17.2,-17.2,7.612
88.916,-17.2,-17.3,7.612
88.916,-17.2,-17.5,7.6
95.441,-17.2,-17.5,7.6
95.888,-17.2,-17.7,7.6
95.746,-17.232,-17.7,7.6
95.746,-17.3,-17.8,7.6
